Country,Year,Unit Code,Salary,Exchange Rate
Australia,2000,AUD,28513.655871550814,1.62192
Australia,2001,AUD,28017.142437786973,1.724515
Australia,2002,AUD,27800.292207529325,1.80044
Australia,2003,AUD,31325.628294955288,1.653553
Australia,2004,AUD,30771.302384612245,1.761362
Australia,2005,AUD,35363.25312385188,1.584102
Australia,2006,AUD,34618.25260305218,1.687058
Australia,2007,AUD,37158.08277166489,1.665425
Australia,2008,AUD,31737.748259440206,2.027365
Australia,2009,AUD,44503.211336805325,1.468703
Australia,2010,AUD,52218.82794383548,1.323469
Australia,2011,AUD,55752.86885214592,1.308973
Australia,2012,AUD,60724.55090304225,1.237539
Australia,2013,AUD,49732.69601102199,1.540194
Australia,2014,AUD,52051.57318596625,1.511328
Australia,2015,AUD,51785.12120047178,1.529532
Australia,2016,AUD,56419.79745872005,1.41897
Australia,2017,AUD,51914.88540285946,1.55414
Australia,2018,AUD,52225.96870390071,1.575404
Australia,2019,AUD,52477.82361180083,1.615006
Australia,2020,AUD,54759.540978059114,1.607592
Australia,2021,AUD,56985.82935824565,1.578547
Australia,2022,AUD,59370.100177960034,1.561227
Austria,2000,EUR,27932.1336265057,1.0
Austria,2001,EUR,28498.9057915159,1.0
Austria,2002,EUR,29233.9134340208,1.0
Austria,2003,EUR,29752.7344956555,1.0
Austria,2004,EUR,30832.2355611196,1.0
Austria,2005,EUR,31756.0,1.0
Austria,2006,EUR,32905.0,1.0
Austria,2007,EUR,33916.0,1.0
Austria,2008,EUR,35212.0,1.0
Austria,2009,EUR,35928.0,1.0
Austria,2010,EUR,36381.0,1.0
Austria,2011,EUR,37126.0,1.0
Austria,2012,EUR,38213.0,1.0
Austria,2013,EUR,39050.0,1.0
Austria,2014,EUR,39986.0,1.0
Austria,2015,EUR,40841.0,1.0
Austria,2016,EUR,41842.0,1.0
Austria,2017,EUR,42566.0,1.0
Austria,2018,EUR,43582.0,1.0
Austria,2019,EUR,44707.0,1.0
Austria,2020,EUR,45409.0,1.0
Austria,2021,EUR,47009.1290667702,1.0
Austria,2022,EUR,49199.1124324615,1.0
Belgium,2000,EUR,31015.7220412343,1.0
Belgium,2001,EUR,31832.9668339589,1.0
Belgium,2002,EUR,32995.242721992,1.0
Belgium,2003,EUR,33687.8092076228,1.0
Belgium,2004,EUR,34349.0454703934,1.0
Belgium,2005,EUR,34995.0,1.0
Belgium,2006,EUR,36204.0,1.0
Belgium,2007,EUR,37106.0,1.0
Belgium,2008,EUR,38448.0,1.0
Belgium,2009,EUR,38664.0,1.0
Belgium,2010,EUR,39208.0,1.0
Belgium,2011,EUR,40740.0,1.0
Belgium,2012,EUR,41897.0,1.0
Belgium,2013,EUR,42763.0,1.0
Belgium,2014,EUR,43323.0,1.0
Belgium,2015,EUR,43398.0,1.0
Belgium,2016,EUR,44153.0,1.0
Belgium,2017,EUR,44684.0,1.0
Belgium,2018,EUR,45847.0,1.0
Belgium,2019,EUR,46946.0,1.0
Belgium,2020,EUR,45894.0,1.0
Belgium,2021,EUR,48395.2519132494,1.0
Belgium,2022,EUR,52035.0680129385,1.0
Canada,2000,CAD,32394.946699608947,1.342027
Canada,2001,CAD,31486.17903964923,1.40376
Canada,2002,CAD,28241.57002810472,1.582759
Canada,2003,CAD,28173.34416800966,1.613962
Canada,2004,CAD,29071.687838735612,1.622112
Canada,2005,CAD,35822.916583427104,1.376549
Canada,2006,CAD,33677.062324854334,1.527657
Canada,2007,CAD,36018.683617583556,1.489005
Canada,2008,CAD,33324.98950000782,1.661906
Canada,2009,CAD,36039.12387613742,1.549233
Canada,2010,CAD,42507.17327297734,1.333422
Canada,2011,CAD,43271.75962317008,1.353608
Canada,2012,CAD,46683.46894132449,1.285937
Canada,2013,CAD,42033.14134436039,1.462584
Canada,2014,CAD,44058.59581573465,1.440922
Canada,2015,CAD,42779.73248017967,1.510318
Canada,2016,CAD,45752.47149105539,1.39693
Canada,2017,CAD,43333.02900512463,1.511526
Canada,2018,CAD,44599.882883233004,1.518143
Canada,2019,CAD,47035.60294186613,1.471311
Canada,2020,CAD,47286.70549663286,1.547602
Canada,2021,CAD,52685.5045335376,1.438958
Canada,2022,CAD,55231.76358418074,1.436894
Czechia,2000,CZK,4990.352418753054,34.83886
Czechia,2001,CZK,5762.685387028905,32.833465
Czechia,2002,CZK,6498.847035859855,31.27804
Czechia,2003,CZK,6797.566620393367,32.222045
Czechia,2004,CZK,7704.453168665902,30.730153
Czechia,2005,CZK,8467.885977836793,29.104903
Czechia,2006,CZK,9342.075571682846,27.923131
Czechia,2007,CZK,10601.664967697869,26.085431
Czechia,2008,CZK,11168.410545618393,26.041754
Czechia,2009,CZK,11326.69213381415,25.80056
Czechia,2010,CZK,12017.539738830663,25.182359
Czechia,2011,CZK,12151.913366583894,25.537213
Czechia,2012,CZK,12558.935384072205,25.287016
Czechia,2013,CZK,11569.132486887329,27.469994
Czechia,2014,CZK,11856.055141483515,27.602014
Czechia,2015,CZK,12457.171332198704,27.043218
Czechia,2016,CZK,12953.72129530037,27.034162
Czechia,2017,CZK,14696.807549067169,25.628491
Czechia,2018,CZK,15726.706024880834,25.855001
Czechia,2019,CZK,17059.00755697938,25.526866
Czechia,2020,CZK,16759.0226946103,26.352909
Czechia,2021,CZK,18274.67092167557,25.361397
Czechia,2022,CZK,20400.844574971827,24.319442
Denmark,2000,DKK,35860.43529873096,7.464151
Denmark,2001,DKK,36905.23657910209,7.467464
Denmark,2002,DKK,38588.92525555665,7.439466
Denmark,2003,DKK,39948.54711921157,7.451894
Denmark,2004,DKK,41435.91518224541,7.431238
Denmark,2005,DKK,42746.03507316056,7.451966
Denmark,2006,DKK,44373.684704368454,7.4603
Denmark,2007,DKK,45604.21711060006,7.467862
Denmark,2008,DKK,47620.02481306374,7.45575
Denmark,2009,DKK,49480.14606619738,7.442379
Denmark,2010,DKK,51193.97696768099,7.453787
Denmark,2011,DKK,52333.61541530846,7.423374
Denmark,2012,DKK,53173.893077695386,7.467123
Denmark,2013,DKK,54039.15428797277,7.458851
Denmark,2014,DKK,55526.88265090103,7.442179
Denmark,2015,DKK,56543.19029833254,7.466098
Denmark,2016,DKK,56891.959559798386,7.436956
Denmark,2017,DKK,57769.557168482206,7.444163
Denmark,2018,DKK,58407.06304761394,7.4642
Denmark,2019,DKK,59277.73279092166,7.472553
Denmark,2020,DKK,60659.16862844606,7.440524
Denmark,2021,DKK,62221.621097050884,7.436058
